mfcc,label
"[-670.1954345703125, 65.06385040283203, 0.8889543414115906, 14.71597957611084, 9.182165145874023, 0.6605746746063232, -3.8468360900878906, -3.583946466445923, -12.959006309509277, -3.300132989883423, 0.910779595375061, -3.5970354080200195, 2.376274585723877]",neutral
"[-660.2303466796875, 63.3258171081543, -2.6304569244384766, 17.983354568481445, 9.407703399658203, -0.9814980626106262, -2.324697494506836, -6.848031520843506, -14.13366985321045, -2.2003321647644043, 0.48575443029403687, -3.589714527130127, 0.7036761045455933]",neutral
"[-661.9644775390625, 66.65586853027344, -0.9321578741073608, 14.899042129516602, 5.324702739715576, 0.4743427336215973, -3.346651315689087, -7.102524757385254, -12.87340259552002, -5.08837890625, 0.001345467520877719, -3.9642319679260254, 1.5700024366378784]",neutral
"[-657.7223510742188, 65.03518676757812, 3.148672342300415, 15.666510581970215, 7.582657337188721, 2.628087043762207, -1.8500686883926392, -7.4775776863098145, -11.976264953613281, -4.458463191986084, 0.47438183426856995, -2.4187018871307373, 0.20188096165657043]",neutral
"[-694.57958984375, 72.5317153930664, 3.1045615673065186, 17.112117767333984, 9.077339172363281, 1.8362563848495483, -4.1460862159729, -4.7971510887146, -11.764124870300293, -5.925480365753174, 0.9203599095344543, -3.9493069648742676, 0.5134986042976379]",calm
"[-676.0234375, 80.26262664794922, 2.5032033920288086, 13.308866500854492, 11.569082260131836, 1.1933577060699463, -5.36598539352417, -5.692615032196045, -9.998197555541992, -5.729334831237793, 1.9533231258392334, -2.931729793548584, -0.2783358097076416]",calm
"[-666.6185302734375, 75.51371765136719, 0.7542206048965454, 15.570236206054688, 6.638893127441406, 3.1286890506744385, -1.8389335870742798, -5.840416431427002, -10.310458183288574, -5.5001115798950195, 2.0212366580963135, -2.076211452484131, 1.4491688013076782]",calm
"[-667.1171264648438, 79.26519012451172, 0.21456468105316162, 14.969450950622559, 8.73884391784668, 1.614774227142334, -1.5327644348144531, -7.318047523498535, -9.807106018066406, -5.784626007080078, 0.6266260147094727, -2.45007586479187, 1.2911064624786377]",calm
"[-687.3937377929688, 86.30303192138672, 4.910165786743164, 16.588546752929688, 11.20629596710205, 2.0070602893829346, -4.878830909729004, -3.813345193862915, -7.9485368728637695, -5.7055463790893555, 2.2010860443115234, -0.1657448709011078, -0.3443659842014313]",calm
"[-632.4493408203125, 89.40560150146484, -0.7624835968017578, 15.570317268371582, 9.038041114807129, 0.536482572555542, -6.24000358581543, -8.146269798278809, -10.773650169372559, -6.59397554397583, 3.4899039268493652, -2.0718486309051514, -1.5570122003555298]",calm
"[-612.810791015625, 91.13050079345703, 3.6563618183135986, 14.375621795654297, 5.68406867980957, 6.595278739929199, -7.815526485443115, -7.708071231842041, -12.26124382019043, -7.3132219314575195, 2.334672689437866, 0.5922542810440063, -0.21268317103385925]",calm
"[-615.4578247070312, 86.49378967285156, -5.194875717163086, 19.323020935058594, 8.754476547241211, 3.5146329402923584, -6.101825714111328, -11.226889610290527, -13.2081880569458, -5.2027082443237305, 4.885493755340576, -1.4740358591079712, -0.5125599503517151]",calm
"[-616.13671875, 73.98907470703125, -5.61279296875, 14.56686782836914, 4.519774436950684, -3.8280937671661377, -7.030733108520508, -8.178227424621582, -13.892967224121094, -3.1425695419311523, -1.8347378969192505, -8.218003273010254, 1.0897971391677856]",happy
"[-601.02001953125, 73.71424865722656, -7.142499923706055, 18.018579483032227, 7.663852691650391, -1.983694314956665, -7.730341911315918, -5.682048797607422, -16.004135131835938, -1.6102890968322754, 0.2039254903793335, -7.506824970245361, 3.8738560676574707]",happy
"[-624.142578125, 73.20094299316406, -2.984949827194214, 15.253687858581543, 2.0333547592163086, -0.2782577574253082, -6.654721260070801, -8.612391471862793, -16.168874740600586, -3.934197425842285, 2.776278018951416, -8.2726469039917, 2.255594253540039]",happy
"[-607.8640747070312, 69.66941833496094, -0.6958227753639221, 21.83348274230957, 2.0618674755096436, -0.17839296162128448, -3.9301247596740723, -8.634002685546875, -17.16471290588379, -5.271437168121338, 0.265095055103302, -6.399934768676758, 2.6937389373779297]",happy
"[-559.3497924804688, 59.43459701538086, -7.348328590393066, 6.731324195861816, -1.6105074882507324, -1.6446795463562012, -15.297956466674805, -10.801414489746094, -12.724634170532227, -10.259270668029785, -0.9808685183525085, -8.85312271118164, -2.5251474380493164]",happy
"[-525.6324462890625, 65.39656066894531, -13.422568321228027, 7.114838600158691, 2.4793038368225098, -2.894314765930176, -13.134979248046875, -8.312349319458008, -17.194005966186523, -9.487421989440918, 3.2600135803222656, -9.44516658782959, -1.70990788936615]",happy
"[-460.33026123046875, 63.15961456298828, -13.468572616577148, 9.937034606933594, -0.07539402693510056, -3.240330696105957, -13.818610191345215, -12.049683570861816, -23.861621856689453, -6.467386245727539, -0.10421723872423172, -12.272019386291504, 0.17549778521060944]",happy
"[-475.0104064941406, 64.748046875, -11.656610488891602, 8.972134590148926, -1.362459659576416, -4.3265204429626465, -12.85409927368164, -12.519540786743164, -22.508834838867188, -9.462557792663574, -2.3589675426483154, -9.268342971801758, -0.5677207112312317]",happy
"[-634.8777465820312, 77.04579162597656, -2.8813228607177734, 18.228151321411133, 8.792020797729492, -3.544921398162842, -2.9235713481903076, -10.810564994812012, -13.933830261230469, -5.671137809753418, -5.511651992797852, -2.2366549968719482, -1.2557417154312134]",sad
"[-670.4842529296875, 72.87327575683594, -5.122416973114014, 16.831565856933594, 8.073150634765625, -1.8720027208328247, -0.5634690523147583, -9.439884185791016, -12.27223014831543, -6.369641304016113, -1.7951287031173706, -2.157902717590332, -1.9174445867538452]",sad
"[-707.9432983398438, 70.33209228515625, -3.9816372394561768, 16.394805908203125, 7.665535926818848, -2.153186798095703, -2.060913562774658, -8.838733673095703, -12.730489730834961, -4.4454755783081055, -1.1473312377929688, -1.585549235343933, -1.4445827007293701]",sad
"[-681.6502075195312, 69.69684600830078, 0.4691549837589264, 18.170812606811523, 6.8703131675720215, -0.4482629597187042, 1.3564287424087524, -8.93822193145752, -14.520135879516602, -4.707396030426025, -2.8978688716888428, -3.0332133769989014, -0.142618790268898]",sad
"[-624.8101196289062, 77.52800750732422, 0.09783759713172913, 19.88445472717285, 8.857915878295898, -3.256847620010376, -2.223750114440918, -10.291402816772461, -12.763715744018555, -2.6949503421783447, -3.9048521518707275, -4.1572265625, -0.9079890847206116]",sad
"[-587.7398071289062, 62.54054260253906, -6.062552452087402, 12.954742431640625, 4.547709941864014, -4.49300479888916, -10.604272842407227, -8.765388488769531, -18.683168411254883, -5.4651875495910645, -2.7438278198242188, -8.550165176391602, 0.3845367431640625]",sad
"[-577.984130859375, 67.760498046875, -7.037594795227051, 16.876731872558594, 4.939755439758301, -3.4777793884277344, -8.413763046264648, -11.454423904418945, -22.81331443786621, -5.983521461486816, -2.8746705055236816, -8.927940368652344, 0.45757758617401123]",sad
"[-557.8783569335938, 62.92364501953125, -5.180089473724365, 16.34960174560547, 2.8336830139160156, -3.81412672996521, -8.793596267700195, -11.089685440063477, -19.799898147583008, -4.843725681304932, -1.6096738576889038, -7.600257396697998, 0.5843578577041626]",sad
"[-490.8826599121094, 54.25925064086914, -7.487056255340576, 15.928641319274902, -1.8539724349975586, -3.762016534805298, -5.567189693450928, -1.9980388879776, -15.838934898376465, -6.187402248382568, -1.1881500482559204, -6.118937015533447, -0.9479344487190247]",angry
"[-467.40606689453125, 52.420806884765625, -7.031423091888428, 10.830770492553711, -4.428554534912109, -4.906847953796387, -9.143120765686035, -11.159565925598145, -17.296751022338867, -8.546915054321289, -5.9205098152160645, -8.759364128112793, -4.677646160125732]",angry
"[-547.8519897460938, 53.03863525390625, -2.017712116241455, 13.761201858520508, -0.4474353492259979, -2.005033254623413, -6.041379928588867, -7.507595539093018, -15.572765350341797, -4.482359886169434, -4.154325485229492, -5.084560394287109, -1.071108102798462]",angry
"[-488.16949462890625, 54.694915771484375, -3.386420726776123, 10.768423080444336, 0.12106792628765106, -4.398369789123535, -5.44542121887207, -8.19438648223877, -18.647003173828125, -6.212215423583984, -3.1716411113739014, -7.064699649810791, 0.15659919381141663]",angry
"[-281.9607849121094, 38.795108795166016, -25.803071975708008, 0.3363783657550812, -16.02508544921875, -7.020027160644531, -17.174591064453125, -16.689876556396484, -17.4868221282959, -11.45761489868164, -8.344426155090332, -6.418480396270752, -9.525339126586914]",angry
